,kcal,protein/g,fats/g,sugars/g,carbs/g
Chicken breast,1.65,0.31,0.03,0,0
Chicken thigh,2,0.21,0.13,0,0
Chicken wing,2,0.22,0.15,0,0
Pork belly,5.2,0.11,0.5,0,0
Pork loin,1.4,0.25,0.05,0,0
Ground pork,3,0.17,0.2,0,0
Beef flank,2.75,0.23,0.17,0,0
Beef sirloin,2.5,0.26,0.15,0,0
Ground beef,2.5,0.26,0.15,0,0
Luncheon meat,2.6,0.1,0.23,0,0
Hot dog,2.5,0.09,0.22,0,0
Bacon,5.4,0.37,0.42,0,0
Salmon,2,0.2,0.13,0,0
Canned tuna,1.15,0.26,0.01,0,0
Cod,0.8,0.18,0.01,0,0
Batang,1.05,,,,0
Shrimp,1,0.2,0.02,0,0
Tofu,0.7,0.08,0.04,0,0
Fried egg,1.95,0.13,0.14,0,0
Plant based meat,1.8,,,,
Broccoli,0.35,0.03,0,0.01,0.07
Carrots,0.4,0.01,0,0.05,0.1
Pumpkin,0.25,0.01,0,0.03,0.06
Spinach,0.2,0.03,0,0,0.04
Tomato,0.2,0.01,0,0.02,0.04
Potato,0.8,0.02,0,0.01,0.17
Onion,0.4,0.01,0,0.04,0.09
Shallot,0.7,0.02,0,0.07,0.17
Iceburg lettuce,0.15,0.01,0,0.01,0.02
Chinese cabbage,0.1,0.01,0,0.02,0.02
Button mushroom,0.2,0.01,0,0,0.03
White radish,0.15,0.01,0,0.02,0.03
Garlic,1.5,0.06,0,0.01,0.33
Bell pepper,0.3,0.01,0,0.04,0.06
Cucumber,0.15,0.01,0,0.02,0.04
Bok choy,0.13,0.01,0,0.01,0.02
Eggplant,0.25,0.01,0,0.02,0.06
Cauliflower,0.25,0.02,0,0.02,0.05
Corn,0.85,0.03,0,0.06,0.2
Kangkong,0.2,0.02,0,0.01,0.04
White rice,1.3,0.02,0,0,0.28
Brown rice,1.1,0.02,0.02,0.01,0.24
White bread,2.65,0.09,0.03,0.05,0.4
Wholemeal bread,2.47,0.1,0.04,0.03,0.44
Pasta,1.3,0.12,0.01,0.01,0.25
Maggi,1.7,,,,
Ramyeon,1.9,0.08,0.18,0.01,0.65
Yellow noodles,1.4,0.09,0.02,0.01,0.21
Oats,3.9,0.17,0.07,0.01,0.66
Sugar,3.9,0,0,1,1
Table salt,0,0,0,0,0
Mayonneise,6.8,0.01,0.75,0.3,0.01
Ketchup,1,0.01,0,0.22,0.25
Unsalted butter,7.2,0.01,0.81,0,0
Soy sauce,0.6,0.06,0,0.01,0.07
Seasame sauce,6,0.1,0.5,0.18,0.23
Nacho cheese,3.3,0.2,0.26,0.05,0.1
Full cream,1.2,0.02,0.03,0.05,0.05
