Chicken breast,"1pc, 200g"
Chicken thigh,"2pc, 200g"
Chicken wing,"4pc, 360g"
Pork belly,100g
Pork loin,120g
Ground pork,200g
Beef flank,250g
Beef sirloin,200g
Ground beef,200g
Luncheon meat,100g
Hot dog,"2pc, 100g"
Bacon,"3pc, 75g"
Salmon,200g
Canned tuna,"1can, 150g"
Cod,200g
Batang,200g
Shrimp,250g
Tofu,150g
Fried egg,"2, 100g"
Plant based meat,200g
Broccoli,100g
Carrots,70g
Pumpkin,120g
Spinach,60g
Tomato,120g
Potato,170g
Onion,120g
Shallot,30g
Iceburg lettuce,70g
Chinese cabbage,70g
Button mushroom,70g
White radish,120g
Garlic,"3cloves, 15g"
Bell pepper,120g
Cucumber,25g
Bok choy,70g
Eggplant,120g
Cauliflower,100g
Corn,70g
Kangkong,40g
White rice,200g
Brown rice,200g
White bread,"2pc, 50g"
Wholemeal bread,"2pc, 50g"
Pasta,120g
Maggi,100g
Ramyeon,100g
Yellow noodles,160g
Oats,150g
Sugar,"1tsp, 4g"
Table salt,"1tsp, 6g"
Mayonneise,"1tbsp, 15g"
Ketchup,"1tbsp, 15g"
Unsalted butter,"1 tbsp, 15g"
Soy sauce,"1 tbsp, 15g"
Seasame sauce,"1 tbsp, 15g"
Nacho cheese,"1 tbsp, 15g"
Full cream,"1 cup, 240g"
